logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
PLK2	-1.31969077133356	-1.78270762898073	-0.856673913686381	3.6573921952032	-5.83715445677618	2.79028488964955e-06	0.000448234226503959	4.6898965037102
ADGRG2	2.21830720622053	1.43359836570546	3.0030160467356	4.41242709671427	5.78947194188148	3.17524341529779e-06	0.000503617721439004	4.5674678074336
IRF8	-1.97891518519895	-2.68083404944867	-1.27699632094924	1.48779771082907	-5.77385769149058	3.31261468191406e-06	0.000518068154952494	4.52734291057865
CHD6	-0.564744496063211	-0.76519865091436	-0.364290341212063	4.95825200861137	-5.76982649335113	3.34904393863943e-06	0.000518068154952494	4.51698102905204
AKAP12	-1.56325972913261	-2.11864068244028	-1.00787877582494	2.68228418840928	-5.76455739357842	3.39726986048205e-06	0.000519119406729756	4.50343558373165
BTN3A2	-1.19266680748822	-1.61674672502084	-0.768586889955609	5.27590708984209	-5.7596651413306	3.44267352383975e-06	0.000519719268117012	4.49085726371573
CRLF1	1.82462401462884	1.17425461532561	2.47499341393208	6.08313171042305	5.74564906425535	3.57616994509743e-06	0.0005334453501437	4.45481224549174
NOX4	-1.26400893643543	-1.71504655026069	-0.812971322610176	5.10168998553644	-5.73935637500916	3.63779106925231e-06	0.000536253201149782	4.43862523259373
HLA.F	-1.12975801082395	-1.53442374012066	-0.725092281527231	6.20491389972737	-5.71761373463031	3.85906572502338e-06	0.000559634307563407	4.38267597530868
SVBP	-0.651316196814358	-0.8847132910122	-0.417919102616516	5.52858981384898	-5.71507905681432	3.88572903096699e-06	0.000559634307563407	4.37615166678627
CIAPIN1	-0.380537033349201	-0.517948612642315	-0.243125454056087	4.63217952460189	-5.67151919054736	4.37410014695401e-06	0.000622812214106065	4.26396591319561
SCPEP1	-0.526774321909522	-0.717354297632524	-0.33619434618652	7.33023832845651	-5.66073909131528	4.50422837047863e-06	0.00063413462339435	4.23618481767192
PRDX1	0.406680273484136	0.25915924417491	0.554201302793362	8.99306966865125	5.64579340210929	4.69111914148206e-06	0.000648806630570479	4.1976574795492
ITM2B	0.508977634595311	0.324209058921048	0.693746210269574	11.5029226116307	5.641523440359	4.74593471083738e-06	0.000648806630570479	4.18664791363358
SLC45A1	1.19140876816244	0.758798895854393	1.6240186404705	2.91861516747042	5.64014377474772	4.76378372007056e-06	0.000648806630570479	4.18309039505056
ST3GAL4	-0.721615472545601	-0.984203014407564	-0.459027930683638	4.30212503998871	-5.62804456604534	4.92323931821451e-06	0.000663313856529331	4.15188752913902
